director_name,actor_3_name,actor_2_name,actor_1_name,genres,movie_title,combination
Troy Miller,Cheri Oteri,Mimi Rogers,Elden Henson,Comedy,dumb and dumberer: when harry met lloyd,Elden Henson Mimi Rogers Cheri Oteri Troy Miller Comedy
Warren Beatty,Graham Beckel,Kirk Baltz,Warren Beatty,Comedy Drama Romance,bulworth,Warren Beatty Kirk Baltz Graham Beckel Warren Beatty Comedy Drama Romance
Tate Taylor,Aunjanue Ellis,Josh Hopkins,Tika Sumpter,Biography Drama Music,get on up,Tika Sumpter Josh Hopkins Aunjanue Ellis Tate Taylor Biography Drama Music
Carl Franklin,Tom Everett Scott,William Hurt,Meryl Streep,Drama,one true thing,Meryl Streep William Hurt Tom Everett Scott Carl Franklin Drama
Brett Leonard,Traci Lords,Costas Mandylor,Denzel Washington,Action Crime Sci-Fi Thriller,virtuosity,Denzel Washington Costas Mandylor Traci Lords Brett Leonard Action Crime Sci-Fi Thriller
Ivan Reitman,Wanda Sykes,Eddie Izzard,Rainn Wilson,Comedy Romance Sci-Fi,my super ex-girlfriend,Rainn Wilson Eddie Izzard Wanda Sykes Ivan Reitman Comedy Romance Sci-Fi
Scott Derrickson,Edgar Ramírez,Dorian Missick,Olivia Munn,Horror Mystery Thriller,deliver us from evil,Olivia Munn Dorian Missick Edgar Ramírez Scott Derrickson Horror Mystery Thriller
Alister Grierson,Richard Roxburgh,Rhys Wakefield,Ioan Gruffudd,Adventure Drama Thriller,sanctum,Ioan Gruffudd Rhys Wakefield Richard Roxburgh Alister Grierson Adventure Drama Thriller
Nick Hurran,Dave Annable,Kevin Sussman,Holly Hunter,Comedy Drama Romance,little black book,Holly Hunter Kevin Sussman Dave Annable Nick Hurran Comedy Drama Romance
Nicholas Stoller,David Paymer,Jacki Weaver,Alison Brie,Comedy Romance,the five-year engagement,Alison Brie Jacki Weaver David Paymer Nicholas Stoller Comedy Romance
Charles Stone III,Paul Sorvino,Chris Noth,Bernie Mac,Comedy Drama Romance Sport,mr 3000,Bernie Mac Chris Noth Paul Sorvino Charles Stone III Comedy Drama Romance Sport
Paul Haggis,Aisha Hinds,Daniel Stern,Olivia Wilde,Crime Drama Romance Thriller,the next three days,Olivia Wilde Daniel Stern Aisha Hinds Paul Haggis Crime Drama Romance Thriller
Kurt Wimmer,Nick Chinlund,Cameron Bright,Milla Jovovich,Action Horror Sci-Fi Thriller,ultraviolet,Milla Jovovich Cameron Bright Nick Chinlund Kurt Wimmer Action Horror Sci-Fi Thriller
Jean-François Richet,Hugh Dillon,Drea de Matteo,Brian Dennehy,Action Crime Drama Thriller,assault on precinct 13,Brian Dennehy Drea de Matteo Hugh Dillon Jean-François Richet Action Crime Drama Thriller
Antoine Fuqua,Patrick Kilpatrick,Clifton Collins Jr.,Mira Sorvino,Action Crime Thriller,the replacement killers,Mira Sorvino Clifton Collins Jr. Patrick Kilpatrick Antoine Fuqua Action Crime Thriller
Kevin Hooks,Will Patton,Stephen Baldwin,Salma Hayek,Action Adventure Crime Drama Romance,fled,Salma Hayek Stephen Baldwin Will Patton Kevin Hooks Action Adventure Crime Drama Romance
Ellory Elkayem,Riley Smith,Doug E. Doug,Scarlett Johansson,Action Comedy Horror,eight legged freaks,Scarlett Johansson Doug E. Doug Riley Smith Ellory Elkayem Action Comedy Horror
Edward Zwick,Judy Greer,Anne Hathaway,Jake Gyllenhaal,Comedy Drama Romance,love & other drugs,Jake Gyllenhaal Anne Hathaway Judy Greer Edward Zwick Comedy Drama Romance
Jon Avnet,Deborah Kara Unger,Alicia Witt,Al Pacino,Crime Drama Mystery Thriller,88 minutes,Al Pacino Alicia Witt Deborah Kara Unger Jon Avnet Crime Drama Mystery Thriller
Niki Caro,Sissy Spacek,Charlize Theron,Jeremy Renner,Drama,north country,Jeremy Renner Charlize Theron Sissy Spacek Niki Caro Drama
Howard Deutch,Natasha Henstridge,Matthew Perry,Bruce Willis,Comedy Crime Thriller,the whole ten yards,Bruce Willis Matthew Perry Natasha Henstridge Howard Deutch Comedy Crime Thriller
Vincenzo Natali,Delphine Chanéac,David Hewlett,Sarah Polley,Drama Horror Sci-Fi,splice,Sarah Polley David Hewlett Delphine Chanéac Vincenzo Natali Drama Horror Sci-Fi
Willard Huyck,Jordan Prentice,Jeffrey Jones,Lea Thompson,Action Adventure Comedy Romance Sci-Fi,howard the duck,Lea Thompson Jeffrey Jones Jordan Prentice Willard Huyck Action Adventure Comedy Romance Sci-Fi
Gavin O'Connor,Frank Grillo,Rick Gonzalez,Jennifer Ehle,Crime Drama Thriller,pride and glory,Jennifer Ehle Rick Gonzalez Frank Grillo Gavin O'Connor Crime Drama Thriller
Bruce Hunt,Marcel Iures,Cole Hauser,Eddie Cibrian,Adventure Horror Thriller,the cave,Eddie Cibrian Cole Hauser Marcel Iures Bruce Hunt Adventure Horror Thriller
Rob Reiner,Robert Costanzo,Lobo Sebastian,David Paymer,Comedy Romance,alex & emma,David Paymer Lobo Sebastian Robert Costanzo Rob Reiner Comedy Romance
Craig Gillespie,Sandra Vergara,Reid Ewing,Grace Phipps,Comedy Horror,fright night,Grace Phipps Reid Ewing Sandra Vergara Craig Gillespie Comedy Horror
Terrence Malick,Wes Studi,Michael Greyeyes,Christian Bale,Biography Drama History Romance,the new world,Christian Bale Michael Greyeyes Wes Studi Terrence Malick Biography Drama History Romance
Chris Roberts,Jürgen Prochnow,David Suchet,Saffron Burrows,Action Adventure Sci-Fi,wing commander,Saffron Burrows David Suchet Jürgen Prochnow Chris Roberts Action Adventure Sci-Fi
Neil Jordan,Paul Guilfoyle,Aidan Quinn,Robert Downey Jr.,Drama Fantasy Thriller,in dreams,Robert Downey Jr. Aidan Quinn Paul Guilfoyle Neil Jordan Drama Fantasy Thriller
James Wong,Randall Duk Kim,Texas Battle,Ian Whyte,Action Adventure Fantasy Sci-Fi Thriller,dragonball: evolution,Ian Whyte Texas Battle Randall Duk Kim James Wong Action Adventure Fantasy Sci-Fi Thriller
Jee-woon Kim,Christiana Leucas,James Burnett,Zach Gilford,Action Crime Thriller,the last stand,Zach Gilford James Burnett Christiana Leucas Jee-woon Kim Action Crime Thriller
Nick Hamm,Munro Chambers,Cameron Bright,Robert De Niro,Drama Horror Sci-Fi Thriller,godsend,Robert De Niro Cameron Bright Munro Chambers Nick Hamm Drama Horror Sci-Fi Thriller
Mike Disa,Cheech Marin,Phil LaMarr,Amy Poehler,Animation Comedy Family,hoodwinked too! hood vs. evil,Amy Poehler Phil LaMarr Cheech Marin Mike Disa Animation Comedy Family
Lasse Hallström,Lynda Boyd,Camryn Manheim,Morgan Freeman,Drama,an unfinished life,Morgan Freeman Camryn Manheim Lynda Boyd Lasse Hallström Drama
Terry Gilliam,Verne Troyer,Lily Cole,Andrew Garfield,Adventure Fantasy Mystery,the imaginarium of doctor parnassus,Andrew Garfield Lily Cole Verne Troyer Terry Gilliam Adventure Fantasy Mystery
Richard J. Lewis,Paul Gross,Atom Egoyan,Mark Addy,Comedy Drama,barney's version,Mark Addy Atom Egoyan Paul Gross Richard J. Lewis Comedy Drama
Brad Furman,David Costabile,John Heard,Justin Timberlake,Crime Thriller,runner runner,Justin Timberlake John Heard David Costabile Brad Furman Crime Thriller
Peter Howitt,Ned Bellamy,Richard Roundtree,Tyler Labine,Action Crime Drama Thriller,antitrust,Tyler Labine Richard Roundtree Ned Bellamy Peter Howitt Action Crime Drama Thriller
Sergio Leone,Treat Williams,Burt Young,Robert De Niro,Crime Drama,once upon a time in america,Robert De Niro Burt Young Treat Williams Sergio Leone Crime Drama
Niels Arden Oplev,James Biberi,Isabelle Huppert,Dominic Cooper,Action Crime Drama Thriller,dead man down,Dominic Cooper Isabelle Huppert James Biberi Niels Arden Oplev Action Crime Drama Thriller
Michael Radford,Kris Marshall,Mackenzie Crook,Al Pacino,Drama Romance,the merchant of venice,Al Pacino Mackenzie Crook Kris Marshall Michael Radford Drama Romance
Neil Jordan,Tchéky Karyo,Saïd Taghmaoui,Emir Kusturica,Action Crime Drama Romance Thriller,the good thief,Emir Kusturica Saïd Taghmaoui Tchéky Karyo Neil Jordan Action Crime Drama Romance Thriller
Steve Boyum,Steve Howey,Mike Vogel,Channing Tatum,Action Drama Romance Sport,supercross,Channing Tatum Mike Vogel Steve Howey Steve Boyum Action Drama Romance Sport
Chris Noonan,Lucy Boynton,Bill Paterson,Emily Watson,Biography Drama Romance,miss potter,Emily Watson Bill Paterson Lucy Boynton Chris Noonan Biography Drama Romance
Corey Yuen,Sarah Carter,Holly Valance,Steve Howey,Action Adventure,doa: dead or alive,Steve Howey Holly Valance Sarah Carter Corey Yuen Action Adventure
Andrew Dominik,Sam Shepard,Jeremy Renner,Brad Pitt,Biography Crime Drama History Western,the assassination of jesse james by the coward robert ford,Brad Pitt Jeremy Renner Sam Shepard Andrew Dominik Biography Crime Drama History Western
Li Zhang,Jaycee Chan,Joan Chen,Bingbing Li,Action Adventure Drama History War,1911,Bingbing Li Joan Chen Jaycee Chan Li Zhang Action Adventure Drama History War
Laurent Tirard,Kad Merad,Sandrine Kiberlain,Louise Bourgoin,Comedy Family,little nicholas,Louise Bourgoin Sandrine Kiberlain Kad Merad Laurent Tirard Comedy Family
Simon West,Jason Alexander,Michael Angarano,Jason Statham,Action Crime Drama Thriller,wild card,Jason Statham Michael Angarano Jason Alexander Simon West Action Crime Drama Thriller
Marc Forster,Kathy Baker,Madeline Carroll,Gerard Butler,Action Biography Crime Drama,machine gun preacher,Gerard Butler Madeline Carroll Kathy Baker Marc Forster Action Biography Crime Drama
Reinhard Klooss,James Corden,Vanessa Redgrave,Jim Broadbent,Animation Comedy Family,animals united,Jim Broadbent Vanessa Redgrave James Corden Reinhard Klooss Animation Comedy Family
Bille August,Tyrone Keogh,Patrick Lyster,Terry Pheto,Biography Drama History,the color of freedom,Terry Pheto Patrick Lyster Tyrone Keogh Bille August Biography Drama History
Frédéric Auburtin,Jemima West,Thomas Kretschmann,Fisher Stevens,Drama History Sport,united passions,Fisher Stevens Thomas Kretschmann Jemima West Frédéric Auburtin Drama History Sport
Olivier Dahan,Derek Jacobi,Frank Langella,Paz Vega,Biography Drama Romance,grace of monaco,Paz Vega Frank Langella Derek Jacobi Olivier Dahan Biography Drama Romance
Maksim Fadeev,Sergey Garmash,Fedor Bondarchuk,Konstantin Khabenskiy,Adventure Animation Fantasy,a warrior's tail,Konstantin Khabenskiy Fedor Bondarchuk Sergey Garmash Maksim Fadeev Adventure Animation Fantasy
Liliana Cavani,Chiara Caselli,Dougray Scott,Ray Winstone,Crime Drama Mystery Thriller,ripley's game,Ray Winstone Dougray Scott Chiara Caselli Liliana Cavani Crime Drama Mystery Thriller
Greg Tiernan,Anders Holm,Salma Hayek,James Franco,Adventure Animation Comedy Fantasy,sausage party,James Franco Salma Hayek Anders Holm Greg Tiernan Adventure Animation Comedy Fantasy
Elizabeth Banks,Hana Mae Lee,Birgitte Hjort Sørensen,Anna Kendrick,Comedy Music,pitch perfect 2,Anna Kendrick Birgitte Hjort Sørensen Hana Mae Lee Elizabeth Banks Comedy Music
James Mangold,Tyler Hilton,Dallas Roberts,Sandra Ellis Lafferty,Biography Drama Music Romance,walk the line,Sandra Ellis Lafferty Dallas Roberts Tyler Hilton James Mangold Biography Drama Music Romance
Edward Norton,Anne Bancroft,Milos Forman,Lisa Edelstein,Comedy Drama Romance,keeping the faith,Lisa Edelstein Milos Forman Anne Bancroft Edward Norton Comedy Drama Romance
Peter Hewitt,Mark Williams,Bradley Pierce,Jim Broadbent,Adventure Comedy Family Fantasy,the borrowers,Jim Broadbent Bradley Pierce Mark Williams Peter Hewitt Adventure Comedy Family Fantasy
Ron Howard,Oliver Platt,Clint Howard,Toby Jones,Drama,frost/nixon,Toby Jones Clint Howard Oliver Platt Ron Howard Drama
George Clooney,Jennifer Hall,David Julian Hirsh,Dick Clark,Biography Comedy Crime Drama Romance Thriller,confessions of a dangerous mind,Dick Clark David Julian Hirsh Jennifer Hall George Clooney Biography Comedy Crime Drama Romance Thriller
Reginald Hudlin,Vincent Pastore,Jerry Stiller,Matthew Perry,Comedy Romance,serving sara,Matthew Perry Jerry Stiller Vincent Pastore Reginald Hudlin Comedy Romance
Ben Falcone,Ben Falcone,Tyler Labine,Peter Dinklage,Comedy,the boss,Peter Dinklage Tyler Labine Ben Falcone Ben Falcone Comedy
Richard Attenborough,Penelope Wilton,Kevin McNally,Denzel Washington,Biography Drama History,cry freedom,Denzel Washington Kevin McNally Penelope Wilton Richard Attenborough Biography Drama History
Lawrence Kasdan,Mary McDonnell,Alfre Woodard,Zooey Deschanel,Comedy Drama,mumford,Zooey Deschanel Alfre Woodard Mary McDonnell Lawrence Kasdan Comedy Drama
Don Mancini,Hannah Spearritt,Billy Boyd,Jason Flemyng,Comedy Fantasy Horror Thriller,seed of chucky,Jason Flemyng Billy Boyd Hannah Spearritt Don Mancini Comedy Fantasy Horror Thriller
John Maybury,Angel Coulby,Jason Lewis,Jennifer Jason Leigh,Drama Mystery Sci-Fi Thriller,the jacket,Jennifer Jason Leigh Jason Lewis Angel Coulby John Maybury Drama Mystery Sci-Fi Thriller
Ron Clements,Scott Weinger,Frank Welker,Robin Williams,Adventure Animation Comedy Family Fantasy Musical Romance,aladdin,Robin Williams Frank Welker Scott Weinger Ron Clements Adventure Animation Comedy Family Fantasy Musical Romance
F. Gary Gray,R. Marcos Taylor,Neil Brown Jr.,Aldis Hodge,Biography Crime Drama History Music,straight outta compton,Aldis Hodge Neil Brown Jr. R. Marcos Taylor F. Gary Gray Biography Crime Drama History Music
Steven Spielberg,Kate Capshaw,Amrish Puri,Harrison Ford,Action Adventure,indiana jones and the temple of doom,Harrison Ford Amrish Puri Kate Capshaw Steven Spielberg Action Adventure
Igor Kovalyov,Christine Cavanaugh,Cree Summer,Elizabeth Daily,Adventure Animation Comedy Drama Family Musical,the rugrats movie,Elizabeth Daily Cree Summer Christine Cavanaugh Igor Kovalyov Adventure Animation Comedy Drama Family Musical
Lee Tamahori,Monica Potter,Billy Burke,Morgan Freeman,Crime Drama Thriller,along came a spider,Morgan Freeman Billy Burke Monica Potter Lee Tamahori Crime Drama Thriller
Stephen Frears,John Sessions,Nina Arianda,Meryl Streep,Biography Comedy Drama Music Romance,florence foster jenkins,Meryl Streep Nina Arianda John Sessions Stephen Frears Biography Comedy Drama Music Romance
Robert Rodriguez,Enrique Iglesias,Salma Hayek,Johnny Depp,Action Crime Thriller,once upon a time in mexico,Johnny Depp Salma Hayek Enrique Iglesias Robert Rodriguez Action Crime Thriller
John McTiernan,Reginald VelJohnson,Bruce Willis,Alan Rickman,Action Thriller,die hard,Alan Rickman Bruce Willis Reginald VelJohnson John McTiernan Action Thriller
David Wain,Bobb'e J. Thompson,Ken Marino,Joe Lo Truglio,Comedy,role models,Joe Lo Truglio Ken Marino Bobb'e J. Thompson David Wain Comedy
Adam McKay,Charlie Talbert,Christian Bale,Ryan Gosling,Biography Comedy Drama History,the big short,Ryan Gosling Christian Bale Charlie Talbert Adam McKay Biography Comedy Drama History
Ang Lee,Demetri Martin,Kevin Chamberlin,Imelda Staunton,Comedy Drama Music,taking woodstock,Imelda Staunton Kevin Chamberlin Demetri Martin Ang Lee Comedy Drama Music
Gavin O'Connor,Kenneth Mitchell,Noah Emmerich,Eddie Cahill,Biography Drama History Sport,miracle,Eddie Cahill Noah Emmerich Kenneth Mitchell Gavin O'Connor Biography Drama History Sport
Adam Shankman,Alex Rocco,Judy Greer,Matthew McConaughey,Comedy Romance,the wedding planner,Matthew McConaughey Judy Greer Alex Rocco Adam Shankman Comedy Romance
Shinji Aramaki,Haruma Miura,Yû Aoi,Shun Oguri,Adventure Animation Sci-Fi,harlock: space pirate,Shun Oguri Yû Aoi Haruma Miura Shinji Aramaki Adventure Animation Sci-Fi
Wes Anderson,Seymour Cassel,Anjelica Huston,Bill Murray,Comedy Drama,the royal tenenbaums,Bill Murray Anjelica Huston Seymour Cassel Wes Anderson Comedy Drama
James Mangold,Jake Busey,Rebecca De Mornay,Clea DuVall,Mystery Thriller,identity,Clea DuVall Rebecca De Mornay Jake Busey James Mangold Mystery Thriller
Jon Turteltaub,Romany Malco,Morgan Freeman,Robert De Niro,Comedy Romance,last vegas,Robert De Niro Morgan Freeman Romany Malco Jon Turteltaub Comedy Romance
John Glen,Desmond Llewelyn,Topol,Julian Glover,Action Adventure Thriller,for your eyes only,Julian Glover Topol Desmond Llewelyn John Glen Action Adventure Thriller
Peter Chelsom,Ann Talman,David Sparrow,Lilli Lavine,Comedy Romance,serendipity,Lilli Lavine David Sparrow Ann Talman Peter Chelsom Comedy Romance
Peter Hyams,Gloria Reuben,Bruce McGill,Mia Sara,Action Crime Sci-Fi Thriller,timecop,Mia Sara Bruce McGill Gloria Reuben Peter Hyams Action Crime Sci-Fi Thriller
Ben Stiller,Will Ferrell,Alexander Skarsgård,Milla Jovovich,Comedy,zoolander,Milla Jovovich Alexander Skarsgård Will Ferrell Ben Stiller Comedy
Lasse Hallström,Mimi Kirkland,Noah Lomax,David Lyons,Drama Romance Thriller,safe haven,David Lyons Noah Lomax Mimi Kirkland Lasse Hallström Drama Romance Thriller
Kenny Ortega,Larry Bagby,Omri Katz,Vinessa Shaw,Comedy Family Fantasy,hocus pocus,Vinessa Shaw Omri Katz Larry Bagby Kenny Ortega Comedy Family Fantasy
Scott Hicks,Bob Balaban,Lily Rabe,Zoë Kravitz,Comedy Drama Romance,no reservations,Zoë Kravitz Lily Rabe Bob Balaban Scott Hicks Comedy Drama Romance
Matthew Vaughn,Michael Rispoli,Deborah Twiss,Elizabeth McGovern,Action Comedy,kick-ass,Elizabeth McGovern Deborah Twiss Michael Rispoli Matthew Vaughn Action Comedy
Ruben Fleischer,Fred Ward,Dilshad Vadsaria,Bianca Kajlich,Action Comedy Crime,30 minutes or less,Bianca Kajlich Dilshad Vadsaria Fred Ward Ruben Fleischer Action Comedy Crime
Patrick Lussier,Jeri Ryan,Danny Masterson,Gerard Butler,Action Fantasy Horror Thriller,dracula 2000,Gerard Butler Danny Masterson Jeri Ryan Patrick Lussier Action Fantasy Horror Thriller
Miguel Arteta,Jennifer Garner,Steve Carell,Bella Thorne,Comedy Family,"alexander and the terrible, horrible, no good, very bad day",Bella Thorne Steve Carell Jennifer Garner Miguel Arteta Comedy Family
Joe Wright,Simon Woods,Brenda Blethyn,Talulah Riley,Drama Romance,pride & prejudice,Talulah Riley Brenda Blethyn Simon Woods Joe Wright Drama Romance
Ridley Scott,M. Emmet Walsh,Sean Young,Harrison Ford,Sci-Fi Thriller,blade runner,Harrison Ford Sean Young M. Emmet Walsh Ridley Scott Sci-Fi Thriller
Michael Caton-Jones,Eric Stoltz,Jason Flemyng,Liam Neeson,Adventure Biography,rob roy,Liam Neeson Jason Flemyng Eric Stoltz Michael Caton-Jones Adventure Biography
McG,Tómas Lemarquis,Richard Sammel,Connie Nielsen,Action Drama Thriller,3 days to kill,Connie Nielsen Richard Sammel Tómas Lemarquis McG Action Drama Thriller
James Gray,Antoni Corone,Oleg Taktarov,Robert Duvall,Crime Drama Thriller,we own the night,Robert Duvall Oleg Taktarov Antoni Corone James Gray Crime Drama Thriller
Janusz Kaminski,Ben Chaplin,Bob Clendenin,Philip Baker Hall,Drama Horror Thriller,lost souls,Philip Baker Hall Bob Clendenin Ben Chaplin Janusz Kaminski Drama Horror Thriller
Jacques Perrin,unknown,Philippe Labro,Jacques Perrin,Documentary,winged migration,Jacques Perrin Philippe Labro unknown Jacques Perrin Documentary
Donald Petrie,Faizon Love,Carlos Ponce,Samaire Armstrong,Comedy Fantasy Romance,just my luck,Samaire Armstrong Carlos Ponce Faizon Love Donald Petrie Comedy Fantasy Romance
Jay Roach,Ron Eldard,Mary McCormack,Scott Grimes,Comedy Drama Sport,"mystery, alaska",Scott Grimes Mary McCormack Ron Eldard Jay Roach Comedy Drama Sport
Brian Levant,George Lopez,Amber Valletta,Madeline Carroll,Action Comedy Family,the spy next door,Madeline Carroll Amber Valletta George Lopez Brian Levant Action Comedy Family
Michael Ritchie,Kathleen Turner,Francis Capra,Mara Wilson,Comedy Family Fantasy,a simple wish,Mara Wilson Francis Capra Kathleen Turner Michael Ritchie Comedy Family Fantasy
John Carpenter,Natasha Henstridge,Clea DuVall,Jason Statham,Action Horror Sci-Fi,ghosts of mars,Jason Statham Clea DuVall Natasha Henstridge John Carpenter Action Horror Sci-Fi
David Gordon Green,Scoot McNairy,Zoe Kazan,Dominic Flores,Comedy Drama,our brand is crisis,Dominic Flores Zoe Kazan Scoot McNairy David Gordon Green Comedy Drama
Burr Steers,Sam Riley,Bella Heathcote,Matt Smith,Action Horror Romance,pride and prejudice and zombies,Matt Smith Bella Heathcote Sam Riley Burr Steers Action Horror Romance
Martin Scorsese,Tencho Gyalpo,Tulku Jamyang Kunga Tenzin,Tenzin Thuthob Tsarong,Biography Drama History War,kundun,Tenzin Thuthob Tsarong Tulku Jamyang Kunga Tenzin Tencho Gyalpo Martin Scorsese Biography Drama History War
Robert B. Weide,Fenella Woolgar,Katherine Parkinson,James Corden,Comedy Drama Romance,how to lose friends & alienate people,James Corden Katherine Parkinson Fenella Woolgar Robert B. Weide Comedy Drama Romance
Jeff Wadlow,Augustus Prew,Donald Faison,Chloë Grace Moretz,Action Comedy Crime,kick-ass 2,Chloë Grace Moretz Donald Faison Augustus Prew Jeff Wadlow Action Comedy Crime
Agustín Díaz Yanes,Eduardo Noriega,Elena Anaya,Viggo Mortensen,Adventure Drama History Romance Thriller War,captain alatriste: the spanish musketeer,Viggo Mortensen Elena Anaya Eduardo Noriega Agustín Díaz Yanes Adventure Drama History Romance Thriller War
Camille Delamarre,RZA,Robert Maillet,Paul Walker,Action Crime Drama Thriller,brick mansions,Paul Walker Robert Maillet RZA Camille Delamarre Action Crime Drama Thriller
John Glen,Steven Berkoff,Kabir Bedi,Louis Jourdan,Action Adventure Thriller,octopussy,Louis Jourdan Kabir Bedi Steven Berkoff John Glen Action Adventure Thriller
Judd Apatow,Charlyne Yi,Martin Starr,Harold Ramis,Comedy Romance,knocked up,Harold Ramis Martin Starr Charlyne Yi Judd Apatow Comedy Romance
Nick Cassavetes,Jeffrey Markle,Sofia Vassilieva,Jason Patric,Drama,my sister's keeper,Jason Patric Sofia Vassilieva Jeffrey Markle Nick Cassavetes Drama
Malcolm D. Lee,Cedric the Entertainer,Mike Epps,Mo'Nique,Comedy Drama Romance,"welcome home, roscoe jenkins",Mo'Nique Mike Epps Cedric the Entertainer Malcolm D. Lee Comedy Drama Romance
David Lean,Art Malik,Judy Davis,Richard Wilson,Adventure Drama History,a passage to india,Richard Wilson Judy Davis Art Malik David Lean Adventure Drama History
Richard Eyre,Shaun Parkes,Andrew Simpson,Phil Davis,Crime Drama Romance Thriller,notes on a scandal,Phil Davis Andrew Simpson Shaun Parkes Richard Eyre Crime Drama Romance Thriller
Gavin Hood,Meryl Streep,Jake Gyllenhaal,J.K. Simmons,Drama Thriller,rendition,J.K. Simmons Jake Gyllenhaal Meryl Streep Gavin Hood Drama Thriller
Nicholas Meyer,Nichelle Nichols,Kurtwood Smith,Leonard Nimoy,Action Adventure Sci-Fi Thriller,star trek vi: the undiscovered country,Leonard Nimoy Kurtwood Smith Nichelle Nichols Nicholas Meyer Action Adventure Sci-Fi Thriller
Callie Khouri,Matthew Settle,Fionnula Flanagan,Ellen Burstyn,Drama,divine secrets of the ya-ya sisterhood,Ellen Burstyn Fionnula Flanagan Matthew Settle Callie Khouri Drama
Jon Favreau,Garry Shandling,Bill Murray,Scarlett Johansson,Adventure Drama Family Fantasy,the jungle book,Scarlett Johansson Bill Murray Garry Shandling Jon Favreau Adventure Drama Family Fantasy
Gary Fleder,Tatyana Ali,Tony Goldwyn,Morgan Freeman,Crime Drama Mystery Thriller,kiss the girls,Morgan Freeman Tony Goldwyn Tatyana Ali Gary Fleder Crime Drama Mystery Thriller
John Landis,Ray Charles,Aretha Franklin,John Belushi,Action Comedy Crime Music,the blues brothers,John Belushi Aretha Franklin Ray Charles John Landis Action Comedy Crime Music
Sanaa Hamri,Michael Rady,Blythe Danner,America Ferrera,Comedy Drama Family Romance,the sisterhood of the traveling pants 2,America Ferrera Blythe Danner Michael Rady Sanaa Hamri Comedy Drama Family Romance
Todd Graff,Jesse L. Martin,Jeremy Jordan,Dolly Parton,Comedy Music,joyful noise,Dolly Parton Jeremy Jordan Jesse L. Martin Todd Graff Comedy Music
Chris Weitz,Peter McNicholl,Christopher Webster,Sharon Small,Comedy Drama Romance,about a boy,Sharon Small Christopher Webster Peter McNicholl Chris Weitz Comedy Drama Romance
Steve Miner,Ty Olsson,Bridget Fonda,Oliver Platt,Action Comedy Horror,lake placid,Oliver Platt Bridget Fonda Ty Olsson Steve Miner Action Comedy Horror
Philip Kaufman,Sam Shepard,Scott Glenn,Dennis Quaid,Adventure Drama History,the right stuff,Dennis Quaid Scott Glenn Sam Shepard Philip Kaufman Adventure Drama History
Roland Emmerich,Rafe Spall,Joely Richardson,Vanessa Redgrave,Drama History Thriller,anonymous,Vanessa Redgrave Joely Richardson Rafe Spall Roland Emmerich Drama History Thriller
Wolfgang Petersen,Alan Oppenheimer,Barret Oliver,Gerald McRaney,Adventure Drama Family Fantasy,the neverending story,Gerald McRaney Barret Oliver Alan Oppenheimer Wolfgang Petersen Adventure Drama Family Fantasy
Alex Proyas,Bruce Spence,William Hurt,Rufus Sewell,Action Drama Fantasy Mystery Sci-Fi Thriller,dark city,Rufus Sewell William Hurt Bruce Spence Alex Proyas Action Drama Fantasy Mystery Sci-Fi Thriller
Saul Dibb,Charlotte Rampling,Hayley Atwell,Dominic Cooper,Biography Drama History Romance,the duchess,Dominic Cooper Hayley Atwell Charlotte Rampling Saul Dibb Biography Drama History Romance
Walter Murch,Tim Rose,Jean Marsh,Piper Laurie,Adventure Family Fantasy Horror Mystery,return to oz,Piper Laurie Jean Marsh Tim Rose Walter Murch Adventure Family Fantasy Horror Mystery
Richard Linklater,Dwight Yoakam,Lew Temple,Matthew McConaughey,Action Crime Drama History Western,the newton boys,Matthew McConaughey Lew Temple Dwight Yoakam Richard Linklater Action Crime Drama History Western
Christian Alvart,Vanesa Tomasino,Callum Rennie,Bradley Cooper,Horror Mystery Thriller,case 39,Bradley Cooper Callum Rennie Vanesa Tomasino Christian Alvart Horror Mystery Thriller
E. Elias Merhige,William Mapother,Kevin Chamberlin,Harry Lennix,Crime Drama Mystery Thriller,suspect zero,Harry Lennix Kevin Chamberlin William Mapother E. Elias Merhige Crime Drama Mystery Thriller
Menno Meyjes,Sophie Okonedo,Richard Schiff,Oliver Platt,Comedy Drama Family,martian child,Oliver Platt Richard Schiff Sophie Okonedo Menno Meyjes Comedy Drama Family
Robert Rodriguez,Daryl Sabara,Joel McHale,Alexa PenaVega,Action Adventure Comedy Family Sci-Fi,spy kids: all the time in the world in 4d,Alexa PenaVega Joel McHale Daryl Sabara Robert Rodriguez Action Adventure Comedy Family Sci-Fi
Jodie Foster,Chris Bauer,Jack O'Connell,Julia Roberts,Crime Drama Thriller,money monster,Julia Roberts Jack O'Connell Chris Bauer Jodie Foster Crime Drama Thriller
Ronny Yu,Paul Barber,Junix Inocian,Meat Loaf,Action Comedy Crime Thriller,formula 51,Meat Loaf Junix Inocian Paul Barber Ronny Yu Action Comedy Crime Thriller
Joel Schumacher,Chris Bauer,Philip Seymour Hoffman,Robert De Niro,Comedy Crime Drama,flawless,Robert De Niro Philip Seymour Hoffman Chris Bauer Joel Schumacher Comedy Crime Drama
Renny Harlin,Eion Bailey,Clifton Collins Jr.,LL Cool J,Crime Horror Mystery Thriller,mindhunters,LL Cool J Clifton Collins Jr. Eion Bailey Renny Harlin Crime Horror Mystery Thriller
