director_name,actor_3_name,actor_2_name,actor_1_name,genres,movie_title
Kevin Smith,Kevin Pollak,Tracy Morgan,Bruce Willis,Action Comedy Crime,cop out
Christian Ditter,Nicholas Braun,Damon Wayans Jr.,Alison Brie,Comedy Romance,how to be single
Charles Martin Smith,Harry Connick Jr.,Michael Roark,Morgan Freeman,Drama Family,dolphin tale
Catherine Hardwicke,Anna Kendrick,Taylor Lautner,Kristen Stewart,Drama Fantasy Romance,twilight
Nick Cassavetes,Anne Heche,Laura Harring,Denzel Washington,Crime Drama Thriller,john q
Les Mayfield,Tamala Jones,Dave Chappelle,Peter Greene,Action Comedy Crime Thriller,blue streak
Rawson Marshall Thurber,Thomas Lennon,Molly C. Quinn,Laura-Leigh,Comedy Crime,we're the millers
Fedor Bondarchuk,Aleksey Serebryakov,Fedor Bondarchuk,Yuliya Snigir,Action Adventure Sci-Fi,obitaemyy ostrov
Jonathan Mostow,J.T. Walsh,M.C. Gainey,Kathleen Quinlan,Action Crime Drama Mystery Thriller,breakdown
Irvin Kershner,Barbara Carrera,Klaus Maria Brandauer,Bernie Casey,Action Adventure Thriller,never say never again
Steve Pink,Crystal Lowe,Collette Wolfe,Charlie McDermott,Comedy Sci-Fi,hot tub time machine
Charles Martin Smith,Harry Connick Jr.,Taylor Blackwell,Morgan Freeman,Drama Family,dolphin tale 2
John Frankenheimer,Clarence Williams III,James Frain,Charlize Theron,Action Adventure Crime Drama Family Fantasy Romance Thriller,reindeer games
F. Gary Gray,Larenz Tate,Jeff Kober,Vin Diesel,Action Crime Drama Thriller,a man apart
Cameron Crowe,Bill Murray,Bradley Cooper,Emma Stone,Comedy Drama Romance,aloha
Rob Reiner,Craig T. Nelson,Virginia Madsen,Alexa PenaVega,Drama History,ghosts of mississippi
Scott Hicks,Daniel von Bargen,Reeve Carney,Rick Yune,Drama Mystery Romance Thriller,snow falling on cedars
Mikael Håfström,Toby Jones,Colin O'Donoghue,Anthony Hopkins,Drama Horror Mystery Thriller,the rite
Andrew Niccol,Mason Gamble,Xander Berkeley,Blair Underwood,Drama Sci-Fi Thriller,gattaca
Andrew Bergman,John Larroquette,Nathan Lane,Stockard Channing,Biography Comedy Romance,isn't she great
Kirk De Micco,Omid Abtahi,Kenan Thompson,Cheryl Hines,Adventure Animation Comedy Family Sci-Fi,space chimps
Chris Rock,Tracy Morgan,Dylan Baker,Bernie Mac,Comedy,head of state
Todd Phillips,Mike Epps,Rob Riggle,Bradley Cooper,Comedy,the hangover
Wilson Yip,Kwok-Kwan Chan,Lynn Hung,Mike Tyson,Action Biography Drama History,ip man 3
Jay Roach,Robert Wagner,Verne Troyer,Muse Watson,Action Adventure Comedy Crime,austin powers: the spy who shagged me
Tim Burton,William Hootkins,Jack Palance,Michael Gough,Action Adventure,batman
Roland Joffé,Lily Cole,Dougray Scott,Jordi Mollà,Biography Drama War,there be dragons
Richard Donner,Stuart Wilson,Nick Chinlund,Rene Russo,Action Crime Thriller,lethal weapon 3
John Lee Hancock,Kim Dickens,Quinton Aaron,Catherine Dyer,Biography Drama Sport,the blind side
,Wendie Malick,Aimee Garcia,Jon Foo,Action Comedy Crime,rush hour            
Robert Rodriguez,Daryl Sabara,Cheech Marin,Alexa PenaVega,Action Adventure Comedy Family Sci-Fi,spy kids
Seth Gordon,Reginald Ballard,Lindsay Sloane,Kevin Spacey,Comedy Crime,horrible bosses
Ethan Coen,Bruce Green,Jeff Bridges,Matt Damon,Adventure Drama Western,true grit
David Frankel,Rebecca Mader,Anne Hathaway,Meryl Streep,Comedy Drama Romance,the devil wears prada
Robert Wise,Walter Koenig,Nichelle Nichols,Leonard Nimoy,Adventure Mystery Sci-Fi,star trek: the motion picture
Seth Gordon,T.I.,Eric Stonestreet,Jon Favreau,Comedy Crime,identity thief
Martin Scorsese,Joe Don Baker,Robert Mitchum,Robert De Niro,Crime Thriller,cape fear
Robert Luketic,Josh Gad,Jim Sturgess,Kevin Spacey,Crime Drama Thriller,21
Judd Apatow,Josh Segarra,Randall Park,Amy Schumer,Comedy Romance,trainwreck
Kevin Rodney Sullivan,Sherri Shepherd,Nicole Sullivan,Bernie Mac,Comedy Romance,guess who
Anthony Minghella,Jürgen Prochnow,Kristin Scott Thomas,Colin Firth,Drama Romance War,the english patient
Curtis Hanson,Paul Guilfoyle,Matt McCoy,Kevin Spacey,Crime Drama Mystery Thriller,l.a. confidential
Mike Mitchell,Nicholas Braun,Kelly Preston,Michael Angarano,Adventure Comedy Family Sci-Fi,sky high
Frank Oz,Lauren Ambrose,Wilford Brimley,Tom Selleck,Comedy,in & out
Roger Donaldson,Jordan Lund,Marg Helgenberger,Natasha Henstridge,Action Horror Sci-Fi Thriller,species
Wes Craven,Amanda Wyss,Lin Shaye,Johnny Depp,Horror,a nightmare on elm street
Tarsem Singh,James Gammon,Jake Weber,Dylan Baker,Horror Sci-Fi Thriller,the cell
Randall Wallace,Judith Godrèche,Anne Parillaud,Leonardo DiCaprio,Action Adventure,the man in the iron mask
Randall Wallace,Dylan Walsh,Kevin Connolly,Scott Glenn,Biography Drama Family History Sport,secretariat
Kevin Munroe,Mako,Sarah Michelle Gellar,Chris Evans,Action Adventure Animation Comedy Family Fantasy Sci-Fi,tmnt
Michael Tollin,Debra Winger,Riley Smith,Alfre Woodard,Biography Drama Sport,radio
Will Gluck,Masi Oka,Justin Timberlake,Mila Kunis,Comedy Romance,friends with benefits
Nicholas Stoller,Kiersey Clemons,Ike Barinholtz,Chloë Grace Moretz,Comedy,neighbors 2: sorority rising
John Lee Hancock,B.J. Novak,Ruth Wilson,Tom Hanks,Biography Comedy Drama History Music,saving mr. banks
Spike Lee,Al Freeman Jr.,Delroy Lindo,Denzel Washington,Biography Drama History Romance,malcolm x
Judd Apatow,Mackenzie Aladjem,Maude Apatow,Charlyne Yi,Comedy,this is 40
Walt Becker,Ann-Margret,Bernie Mac,Robin Williams,Comedy Family,old dogs
Patrick Tatopoulos,Steven Mackintosh,Kevin Grevioux,Craig Parker,Action Adventure Fantasy Sci-Fi Thriller,underworld: rise of the lycans
Ken Kwapis,Mindy Kaling,Christine Taylor,Robin Williams,Comedy Romance,license to wed
Dennis Dugan,Tim Meadows,Jon Heder,Jon Lovitz,Comedy Romance Sport,the benchwarmers
Gary David Goldberg,Elizabeth Perkins,Victor Webster,Stockard Channing,Comedy Romance,must love dogs
Mike Newell,Anne Heche,Al Pacino,Johnny Depp,Biography Crime Drama,donnie brasco
Paul W.S. Anderson,Colin Salmon,Jaymes Butler,Milla Jovovich,Action Horror Sci-Fi,resident evil
Tobe Hooper,Craig T. Nelson,Zelda Rubinstein,Heather O'Rourke,Fantasy Horror,poltergeist
Ethan Coen,Stephen Root,Tom Hanks,J.K. Simmons,Comedy Crime Thriller,the ladykillers
John Moore,Jamie Hector,Beau Bridges,Mila Kunis,Action Crime Drama Mystery Thriller,max payne
Andrew Niccol,Justin Timberlake,Olivia Wilde,Matt Bomer,Action Sci-Fi Thriller,in time
Alan Poul,Tom Bosley,Noureen DeWulf,Danneel Ackles,Comedy Romance,the back-up plan
Luke Greenfield,Kirsten Day,Steve Howey,Ashley Williams,Comedy Drama Romance,something borrowed
,Logan Browning,Kimberly Elise,Jodi Lyn O'Keefe,Drama Romance,hit the floor            
Gil Junger,Vincent Regan,Marsha Thomason,Tom Wilkinson,Adventure Comedy Fantasy,black knight
Michael Ritchie,Joyce Van Patten,Vic Morrow,Tatum O'Neal,Comedy Drama Family Sport,the bad news bears
Steven E. de Souza,Kylie Minogue,Raul Julia,Ming-Na Wen,Action Adventure Comedy Thriller,street fighter
Roman Polanski,Ed Stoppard,Frank Finlay,Emilia Fox,Biography Drama War,the pianist
Albert Hughes,Ian Richardson,Jason Flemyng,Johnny Depp,Horror Mystery Thriller,from hell
Catherine Hardwicke,Shaun Toub,Hiam Abbass,Keisha Castle-Hughes,Drama Family Fantasy,the nativity story
Jaume Collet-Serra,Brian Van Holt,Paris Hilton,Robert Ri'chard,Horror,house of wax
Mike Nichols,Colin Stinton,Julia Roberts,Natalie Portman,Drama Romance,closer
Clint Eastwood,Kaitlyn Dever,Naomi Watts,Leonardo DiCaprio,Biography Crime Drama,j. edgar
Alexandre Aja,Julian Glover,Cameron Boyce,Jason Flemyng,Horror Mystery,mirrors
Michael Rymer,Bruce Spence,Lena Olin,Aaliyah,Drama Fantasy Horror,queen of the damned
Stephen Hopkins,Kevin Peter Hall,Robert Davi,Adam Baldwin,Action Horror Sci-Fi,predator 2
Gregory Hoblit,Joseph Cross,Jesse Tyler Ferguson,Billy Burke,Crime Drama Thriller,untraceable
Hugh Wilson,Douglas Smith,Sissy Spacek,Brendan Fraser,Comedy Drama Romance Sci-Fi,blast from the past
Mike Hodges,Sam J. Jones,William Hootkins,Brian Blessed,Action Adventure Sci-Fi,flash gordon
Kevin Smith,George Carlin,Mike Starr,Stephen Root,Comedy Drama Romance,jersey girl
Rob Cohen,Carmen Ejogo,Chad Lindberg,Cicely Tyson,Action Crime Mystery Thriller,alex cross
Clint Eastwood,Leon Rippy,Bob Gunton,Kevin Spacey,Crime Drama Mystery Thriller,midnight in the garden of good and evil
Scott Mann,D.B. Sweeney,Joshua Mikel,Robert De Niro,Action Crime Thriller,heist
Susanna White,Eros Vlahos,Bill Bailey,Daniel Mays,Comedy Family Fantasy,nanny mcphee returns
Danny DeVito,Paul Guilfoyle,J.T. Walsh,Frank Whaley,Biography Crime Drama,hoffa
Chris Carter,Nicki Aycox,Callum Rennie,Mitch Pileggi,Drama Mystery Sci-Fi Thriller,the x files: i want to believe
Tommy O'Haver,Joanna Lumley,Steve Coogan,Anne Hathaway,Comedy Family Fantasy Romance,ella enchanted
Peter Landesman,Albert Brooks,Eddie Marsan,Will Smith,Biography Drama Sport,concussion
John Singleton,Richard Cetrone,Benjamin J. Cain Jr.,Ken Arnold,Action Mystery Thriller,abduction
Gary Chapman,Pip Torrens,Olivia Williams,Jim Broadbent,Adventure Animation Comedy Family War,valiant
Curtis Hanson,Richard Thomas,Rip Torn,Robert Downey Jr.,Comedy Drama,wonder boys
Craig Mazin,Marion Ross,Tracy Morgan,Drake Bell,Action Comedy Sci-Fi Thriller,superhero movie
Allen Hughes,Michael Beach,James Ransone,Alona Tal,Crime Drama Thriller,broken city
Wes Craven,Derek Mears,Portia de Rossi,Shannon Elizabeth,Comedy Horror,cursed
David Koepp,Aasif Mandvi,Dania Ramirez,Joseph Gordon-Levitt,Action Crime Thriller,premium rush
Anne Fletcher,Michael Mosley,Richard T. Jones,Jim Gaffigan,Action Comedy Crime,hot pursuit
Shekhar Kapur,Alex Jennings,Lucy Gordon,Djimon Hounsou,Adventure Drama Romance War,the four feathers
Taylor Hackford,Wendell Pierce,Clifton Collins Jr.,Jason Statham,Action Crime Romance Thriller,parker
Richard Loncraine,Austin Nichols,Jon Favreau,Kirsten Dunst,Comedy Romance Sport,wimbledon
Roger Kumble,Matt Prokop,Brooke Shields,Brendan Fraser,Comedy Family,furry vengeance
Kimble Rendall,Richard Brancatisano,Cariba Heine,Alex Russell,Action Horror Sci-Fi,bait
Peter Yates,Lysette Anthony,Alun Armstrong,Liam Neeson,Action Adventure Fantasy,krull
Robert Redford,Andrew Garfield,Tom Cruise,Meryl Streep,Drama Thriller War,lions for lambs
John Milius,Christopher Rich,Dann Florek,Rosanna Arquette,Action Drama Thriller War,flight of the intruder
Jake Kasdan,Matt Price,Nat Faxon,Tim Meadows,Comedy Music,walk hard: the dewey cox story
Lasse Hallström,Jason Behr,Scott Glenn,Kevin Spacey,Drama,the shipping news
Les Mayfield,Harris Yulin,Ronny Cox,Gregory Smith,Action Western,american outlaws
Jean-Marc Vallée,Thomas Kretschmann,Jim Broadbent,Michiel Huisman,Biography Drama History Romance,the young victoria
Dominic Sena,Shawn Doyle,Bashar Rahal,Tom Skerritt,Action Crime Mystery Thriller,whiteout
Terrence Malick,Fiona Shaw,Tye Sheridan,Brad Pitt,Drama Fantasy,the tree of life
Hark Tsui,Ray Nicholas,Lela Rochon,Paul Sorvino,Action Comedy Thriller,knock off
David Ayer,Maurice Compte,Martin Donovan,Mireille Enos,Action Crime Drama Thriller,sabotage
Brian Helgeland,Benno Fürmann,Mark Addy,Heath Ledger,Action Mystery Thriller,the order
Lexi Alexander,Colin Salmon,Wayne Knight,Julie Benz,Action Crime Drama Thriller,punisher: war zone
Peter Hewitt,Thomas F. Wilson,Rip Torn,Kevin Zegers,Action Adventure Family Sci-Fi,zoom
Robert Zemeckis,Jade Kindar-Martin,Soleyman Pierini,Joseph Gordon-Levitt,Adventure Biography Drama Thriller,the walk
Ronny Yu,Angus Macfadyen,Lee Arenberg,Marley Shelton,Action Adventure Fantasy,warriors of virtue
Ridley Scott,Richard Coyle,Albert Finney,Archie Panjabi,Comedy Drama Romance,a good year
,Warren Brown,Indira Varma,Ruth Wilson,Crime Drama Mystery Thriller,luther            
Richard Donner,John Heard,Thomas Ian Nicholas,Adam Baldwin,Drama,radio flyer
Taylor Hackford,Raymond Cruz,Jesse Borrego,Delroy Lindo,Crime Drama,"blood in, blood out"
Bille August,Julia Ormond,Tom Wilkinson,Jim Broadbent,Action Drama Sci-Fi Thriller,smilla's sense of snow
Brian De Palma,Rie Rasmussen,Gregg Henry,Peter Coyote,Crime Drama Mystery Thriller,femme fatale
Moustapha Akkad,John Gielgud,Rod Steiger,Oliver Reed,Biography Drama History War,lion of the desert
Jean-Paul Rappeneau,Isabelle Carré,François Cluzet,Olivier Martinez,Adventure Drama Romance War,the horseman on the roof
Ang Lee,Tobey Maguire,Jeffrey Dover,Jeremy W. Auman,Drama Romance War Western,ride with the devil
Alejandro G. Iñárritu,Eduard Fernández,Hanaa Bouchaib,Maricel Álvarez,Drama,biutiful
Roland Joffé,Bipasha Basu,Alice Englert,Tamsin Egerton,Action Adventure Romance Sci-Fi,the lovers
Joachim Rønning,Dwight Yoakam,Sam Shepard,Salma Hayek,Action Comedy Crime Western,bandidas
Tony Kaye,Beverly D'Angelo,Aisha Tyler,Bill Cobbs,Crime Drama,black water transit
Wes Ball,Jacob Latimore,Aml Ameen,Ki Hong Lee,Action Mystery Sci-Fi Thriller,the maze runner
Ken Scott,Melissa McMeekin,June Diane Raphael,Tom Wilkinson,Comedy,unfinished business
Martin Scorsese,Stuart Wilson,Geraldine Chaplin,Richard E. Grant,Drama Romance,the age of innocence
Darren Aronofsky,Mark Margolis,Ellen Burstyn,Hugh Jackman,Drama Sci-Fi,the fountain
Hugh Johnson,Hudson Leick,Kevin J. O'Connor,David Paymer,Action Adventure Comedy Drama Thriller,chill factor
Simon West,Sami Gayle,Mark Valley,Nicolas Cage,Action Crime Drama Thriller,stolen
Hayao Miyazaki,Yuria Nara,Yûki Amami,Rumi Hiiragi,Adventure Animation Family Fantasy,ponyo
George Tillman Jr.,Hayley Lovitt,Melissa Benoist,Tiago Riani,Drama Romance,the longest ride
Rand Ravich,Clea DuVall,Charlize Theron,Johnny Depp,Drama Sci-Fi Thriller,the astronaut's wife
Hugh Hudson,Vincent Perez,Eva Marie Saint,Liam Aiken,Adventure Drama Romance,i dreamed of africa
Gabriele Muccino,Judy Greer,Dennis Quaid,Gerard Butler,Comedy Romance Sport,playing for keeps
Justin Chadwick,Tony Kgoroge,Fana Mokoena,Terry Pheto,Biography Drama History,mandela: long walk to freedom
Warren Beatty,M. Emmet Walsh,Warren Beatty,Paul Sorvino,Biography Drama History Romance,reds
Rob Reiner,Kevin Pollak,Demi Moore,Tom Cruise,Drama Thriller,a few good men
Andrzej Bartkowiak,Bruce McGill,Bill Duke,Michael Jai White,Action Comedy Crime Drama Thriller,exit wounds
Raja Gosnell,Tichina Arnold,Cedric the Entertainer,Nia Long,Action Comedy Crime,big momma's house
Jeremy Degruson,Joe Ochman,Brianne Brozey,Kyle Hebert,Adventure Animation Comedy Family Fantasy,thunder and the house of magic
Chris Gorak,Dato Bakhtadze,Veronika Vernadskaya,Max Minghella,Action Adventure Horror Sci-Fi Thriller,the darkest hour
Scott Speer,Misha Gabriel Hamilton,Stephen Boss,Ryan Guzman,Drama Music Romance,step up revolution
David R. Ellis,Rachel Blanchard,Kenan Thompson,Lin Shaye,Action Adventure Crime Drama Thriller,snakes on a plane
Joe Charbanic,Chris Ellis,Joseph Sikora,Keanu Reeves,Crime Horror Mystery Thriller,the watcher
Jonathan Hensleigh,Eddie Jemison,Marco St. John,Laura Harring,Action Crime Drama Thriller,the punisher
Danny Cannon,Stephen Dillane,Kuno Becker,Sean Pertwee,Drama Romance Sport,goal! the dream begins
Boaz Yakin,Robert John Burke,Reggie Lee,Jason Statham,Action Crime Thriller,safe
Mike Newell,Jake Weber,Kurt Fuller,Angelina Jolie Pitt,Comedy Drama Romance,pushing tin
Richard Marquand,Kenny Baker,Ian McDiarmid,Harrison Ford,Action Adventure Fantasy Sci-Fi,star wars: episode vi - return of the jedi
Neil Marshall,Jeremy Crutchley,Jason Cope,Ryan Kruger,Action Sci-Fi Thriller,doomsday
Stephen Daldry,Susanne Lothar,David Kross,Kate Winslet,Drama Romance,the reader
David Wain,Joe Lo Truglio,Lauren Ambrose,Justin Theroux,Comedy,wanderlust
Jon Favreau,Will Ferrell,Zooey Deschanel,Peter Dinklage,Comedy Family Fantasy Romance,elf
Jon Turteltaub,David Gallagher,Kyra Sedgwick,Robert Duvall,Drama Fantasy Romance Sci-Fi,phenomenon
Brian Levant,M. Emmet Walsh,Nichelle Nichols,James Coburn,Adventure Comedy Family Sport,snow dogs
Richard Donner,Robert Mitchum,Alfre Woodard,Bill Murray,Comedy Drama Fantasy,scrooged
Jared Hess,Héctor Jiménez,Moises Arias,Ana de la Reguera,Comedy Family Sport,nacho libre
Paul Feig,Steve Bannos,Wendi McLendon-Covey,Matt Lucas,Comedy Romance,bridesmaids
Evan Goldberg,Emma Watson,James Franco,Channing Tatum,Comedy Fantasy,this is the end
Rupert Wainwright,Portia de Rossi,Enrico Colantoni,Nia Long,Horror,stigmata
George Tillman Jr.,Michael Rapaport,Charlize Theron,Robert De Niro,Biography Drama,men of honor
John Luessenhop,Jay Hernandez,Hayden Christensen,Paul Walker,Action Crime Thriller,takers
Justin Zackham,Topher Grace,Robert De Niro,Robin Williams,Comedy,the big wedding
John Whitesell,Portia Doubleday,Tony Curran,Brandon T. Jackson,Action Comedy Crime,"big mommas: like father, like son"
Duncan Jones,Russell Peters,Cas Anvar,Jake Gyllenhaal,Mystery Sci-Fi Thriller,source code
Frank Marshall,Michael DeLorenzo,Danny Nucci,Illeana Douglas,Adventure Biography Drama Thriller,alive
Joel Schumacher,Ed Lauter,Virginia Madsen,Logan Lerman,Mystery Thriller,the number 23
Jean-Pierre Jeunet,Judy Davis,Julian Richings,Callum Rennie,Action Adventure Drama Family,the young and prodigious t.s. spivet
Steven Spielberg,Treat Williams,John Belushi,Christopher Lee,Action Comedy War,1941
John Gatins,Holmes Osborne,Freddy Rodríguez,Ken Howard,Drama Family Sport,dreamer: inspired by a true story
David Cronenberg,William Hurt,Kyle Schmid,Viggo Mortensen,Crime Drama Thriller,a history of violence
Louis Leterrier,Matthew Modine,Jason Flemyng,Jason Statham,Action Crime Thriller,transporter 2
Sam Raimi,Roberts Blossom,Pat Hingle,Leonardo DiCaprio,Action Thriller Western,the quick and the dead
Peter Howitt,Nora Dunn,Mike Doyle,Frances Fisher,Comedy Romance,laws of attraction
Martin Scorsese,Sonja Sohn,Marc Anthony,Nicolas Cage,Drama Thriller,bringing out the dead
Miguel Sapochnik,Yvette Nicole Brown,RZA,Alice Braga,Action Crime Sci-Fi Thriller,repo men
Hyung-rae Shim,Chris Mulkey,Aimee Garcia,Robert Forster,Action Drama Fantasy Horror Thriller,dragon wars: d-war
Norman Jewison,Andrea Martin,Nancy Travis,Haley Joel Osment,Comedy Family Fantasy,bogus
Don Scardino,Steve Carell,Olivia Wilde,Steve Buscemi,Comedy,the incredible burt wonderstone
Mark Dindal,Hal Holbrook,Frank Welker,George Kennedy,Animation Comedy Family Fantasy Musical,cats don't dance
Tim Robbins,Emily Watson,Vanessa Redgrave,Bill Murray,Drama,cradle will rock
Steven Soderbergh,Leland Orser,Beau Bridges,Tony Curran,Drama Mystery Thriller,the good german
Tom Reeve,Simon Callow,Rollo Weeks,Joan Plowright,Action Adventure Comedy Fantasy Romance,george and the dragon
Francis Ford Coppola,Robert Duvall,Marlon Brando,Harrison Ford,Drama War,apocalypse now
Nanette Burstein,Jim Gaffigan,Kelli Garner,Rob Riggle,Comedy Romance,going the distance
Stephen Herek,Jean Louisa Kelly,Olympia Dukakis,Alicia Witt,Drama Music,mr. holland's opus
Ariel Vromen,Doug Cockle,Jordi Mollà,Gary Oldman,Action Crime Drama Mystery Sci-Fi Thriller,criminal
Sydney Pollack,Michael Kitchen,Michael Gough,Meryl Streep,Biography Drama Romance,out of africa
Robert Zemeckis,Nadine Velazquez,Bruce Greenwood,Denzel Washington,Drama Thriller,flight
Lewis Gilbert,Lois Maxwell,Lois Chiles,Desmond Llewelyn,Action Adventure Sci-Fi Thriller,moonraker
Wes Anderson,F. Murray Abraham,Tom Wilkinson,Bill Murray,Adventure Comedy Crime Drama,the grand budapest hotel
Scott Hicks,Hope Davis,Mika Boorem,Anthony Hopkins,Drama Mystery,hearts in atlantis
Frank Marshall,Brian McNamara,Peter Jason,Julian Sands,Comedy Fantasy Horror Thriller,arachnophobia
Gregory Hoblit,Noah Emmerich,Andre Braugher,Dennis Quaid,Crime Drama Mystery Sci-Fi Thriller,frequency
Paul Feig,Zach Woods,Kate McKinnon,Ed Begley Jr.,Action Comedy Fantasy Sci-Fi,ghostbusters
John Francis Daley,Beverly D'Angelo,Norman Reedus,Chris Hemsworth,Adventure Comedy,vacation
Barry Sonnenfeld,Jon Gries,Rene Russo,Delroy Lindo,Comedy Crime Thriller,get shorty
Rob Marshall,Jayne Eastwood,Chita Rivera,Colm Feore,Comedy Crime Musical,chicago
Dennis Dugan,Joey Lauren Adams,Adam Sandler,Steve Buscemi,Comedy Drama,big daddy
J.B. Rogers,Natasha Lyonne,Shannon Elizabeth,Alyson Hannigan,Comedy,american pie 2
John Lasseter,Jim Varney,John Ratzenberger,Tom Hanks,Adventure Animation Comedy Family Fantasy,toy story
Jan de Bont,Joe Morton,Alan Ruck,Keanu Reeves,Action Adventure Crime Thriller,speed
Michael Sucsy,Dillon Casey,Lucas Bryant,Channing Tatum,Drama Romance,the vow
Tom Vaughan,Alan Ruck,Brendan Fraser,Harrison Ford,Drama,extraordinary measures
Boaz Yakin,Ethan Suplee,Denzel Washington,Ryan Gosling,Biography Drama Sport,remember the titans
John McTiernan,Courtney B. Vance,Jeffrey Jones,Scott Glenn,Action Adventure Thriller,the hunt for red october
Lee Daniels,Vanessa Redgrave,David Oyelowo,Alex Pettyfer,Biography Drama,lee daniels' the butler
Rawson Marshall Thurber,Joel David Moore,Stephen Root,Gary Cole,Comedy Sport,dodgeball: a true underdog story
Barry Sonnenfeld,Carel Struycken,Raul Julia,Anjelica Huston,Comedy Fantasy,the addams family
Steve Oedekerk,Sophie Okonedo,Bob Gunton,Bruce Spence,Adventure Comedy,ace ventura: when nature calls
Garry Marshall,Heather Matarazzo,Hector Elizondo,Anne Hathaway,Comedy Family Romance,the princess diaries
Hugh Wilson,Stephen Collins,Elizabeth Berkley,Stockard Channing,Comedy,the first wives club
David Fincher,Reg E. Cathey,Brad Pitt,Morgan Freeman,Crime Drama Mystery Thriller,se7en
Neill Blomkamp,Jason Cope,Jed Brophy,Sharlto Copley,Action Sci-Fi Thriller,district 9
Stephen Hillenburg,Rodger Bumpass,Bill Fagerbakke,Scarlett Johansson,Adventure Animation Comedy Family Fantasy,the spongebob squarepants movie
Clint Eastwood,Tom Guiry,Spencer Treat Clark,John Doman,Crime Drama Mystery Thriller,mystic river
Clint Eastwood,Mike Colter,Morgan Freeman,Clint Eastwood,Drama Sport,million dollar baby
Harold Ramis,Molly Shannon,Chazz Palminteri,Robert De Niro,Comedy Crime,analyze this
Nick Cassavetes,Gena Rowlands,Kevin Connolly,Ryan Gosling,Drama Romance,the notebook
Anne Fletcher,Yetta Gottesman,Bern Cohen,Judy Greer,Comedy Romance,27 dresses
Peter Chelsom,Moises Arias,Vanessa Williams,Emily Osment,Comedy Drama Family Music Romance,hannah montana: the movie
Stig Bergqvist,Debbie Reynolds,Casey Kasem,Elizabeth Daily,Adventure Animation Comedy Family Romance,rugrats in paris: the movie
Barbra Streisand,Melinda Dillon,Blythe Danner,George Carlin,Drama Romance,the prince of tides
Edward Zwick,Julia Ormond,Brad Pitt,Anthony Hopkins,Drama Romance War Western,legends of the fall
Jason Reitman,Chris Lowell,Anna Kendrick,J.K. Simmons,Drama Romance,up in the air
Alexander Payne,Howard Hesseman,June Squibb,Hope Davis,Comedy Drama,about schmidt
Jonathan Levine,Daniel Rindress-Kay,Vincent Leclerc,Cory Hardrict,Comedy Horror Romance,warm bodies
Rian Johnson,Tracie Thoms,Bruce Willis,Joseph Gordon-Levitt,Action Crime Drama Sci-Fi Thriller,looper
Chris Weitz,Wanda Sykes,Mark Addy,Chazz Palminteri,Comedy Fantasy,down to earth
Chris Noonan,Roscoe Lee Browne,Christine Cavanaugh,Miriam Margolyes,Comedy Drama Family,babe
David Frankel,Jean Smart,Steve Carell,Meryl Streep,Comedy Drama Romance,hope springs
Nicholas Stoller,Maria Thayer,Jack McBrayer,Mila Kunis,Comedy Drama Romance,forgetting sarah marshall
,Scott Porter,Aimee Teegarden,Zach Gilford,Drama Sport,friday night lights            
John Singleton,Fionnula Flanagan,Tony Nappo,Josh Charles,Action Crime Drama Mystery Thriller,four brothers
Michael McCullers,Romany Malco,Amy Poehler,Tina Fey,Comedy Romance,baby mama
Forest Whitaker,Gena Rowlands,Harry Connick Jr.,Bill Cobbs,Drama Romance,hope floats
Gary Winick,Candice Bergen,Steve Howey,Anne Hathaway,Comedy Romance,bride wars
Steven Brill,Bonnie Somerville,Scott Adsit,Antony Starr,Adventure Comedy Mystery,without a paddle
Gary Winick,Christa B. Allen,Judy Greer,Jennifer Garner,Comedy Fantasy Romance,13 going on 30
Woody Allen,Nina Arianda,Audrey Fleurot,Kurt Fuller,Comedy Fantasy Romance,midnight in paris
Peter Lepeniotis,Sarah Gadon,Brendan Fraser,Liam Neeson,Adventure Animation Comedy Family,the nut job
Ted Demme,Jordi Mollà,Ethan Suplee,Johnny Depp,Biography Crime Drama,blow
Luis Mandoki,Raphael Sbarge,John Savage,Robin Wright,Drama Romance,message in a bottle
William Shatner,Walter Koenig,Nichelle Nichols,Leonard Nimoy,Action Adventure Sci-Fi Thriller,star trek v: the final frontier
John Schultz,Anne Meara,Robert Forster,Brenda Song,Comedy Family Fantasy Sport,like mike
Peter Segal,Priscilla Presley,Fred Ward,George Kennedy,Comedy Crime,naked gun 33 1/3: the final insult
John Glen,Tanya Roberts,Alison Doody,Patrick Macnee,Action Adventure Thriller,a view to a kill
Steve Box,Peter Sallis,Geraldine McEwan,Mark Gatiss,Animation Comedy Family Mystery Sci-Fi,the curse of the were-rabbit
Richard LaGravenese,Nellie McKay,Harry Connick Jr.,Gerard Butler,Drama Romance,p.s. i love you
Frederik Du Chau,M. Emmet Walsh,Frankie Muniz,Bruce Greenwood,Adventure Comedy Drama Family Sport,racing stripes
Joe Wright,Brenda Blethyn,Alfie Allen,Benedict Cumberbatch,Drama Mystery Romance War,atonement
Gary Winick,Luisa Ranieri,Marcia DeBonis,Vanessa Redgrave,Comedy Drama Romance,letters to juliet
Ridley Scott,Kate Capshaw,Ken Takakura,Stephen Root,Action Crime Thriller,black rain
Bobby Farrelly,Sean Hayes,Larry David,Kate Upton,Comedy,the three stooges
Tim Burton,Joanna Lumley,Christopher Lee,Johnny Depp,Animation Drama Family Fantasy Musical Romance,corpse bride
